"Template-Type","Author-Name","Author-X-Name-First","Author-X-Name-Last","Title","Abstract","Journal","Pages","Issue","Volume","Year","Keywords","X-DOI","File-URL","File-Format","File-Restriction","Handle","Month","# input file"
"ReDIF-Article 1.0","Hans Kammler","Hans","Kammler","Not for security only: The demand for international status and defence expenditure an introduction","The analysis of military expenditure, inside alliances as well as outside, has gained much when the original Olson-Zeckhauser approach was generalized into the joint-product model of alliances as developed by Todd Sandier and others. This model allowed, as benefits to allies determining military expenditure, not only deterrence, a pure collective good, but partially collective goods like conventional fighting power and private (country-specific) benefits. The papers in this Special Issue explore the explanatory potential of also considering the demand for positional goods, in particular great-power status, as a determinant of military expenditure. The &#x201c;exploitation of the strong by the weak&#x201d; characterizing NATO until the early 1970s and during the American defence buildup of 1980-1985 might also be explained by an informal leader-follower bargain between the United States and its allies who traded acceptance of American hegemony for military protection and &#x201c;hegemonic stability&#x201d; of the world economy.","Defence and Peace Economics","1-16","1","8","1997","Positional goods, great-power status, credibility, leader-follower bargain, hegemonic stability, military expenditure,","10.1080/10430719708404866","http://www.tandfonline.com/doi/abs/10.1080/10430719708404866","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:1:p:1-16",NA,NA
"ReDIF-Article 1.0","Keith Hartley","Keith","Hartley","The cold war, great-power traditions and military posture: Determinants of British defence expenditure after 1945","Since 1945 the UK has changed from Great Power to leading nation status. The stylised facts are outlined and the determinants of UK defence spending are analysed using social welfare and public choice models. The military criteria for leading nation status are considered and the costs of such status are estimated. The conclusion suggests a possible UK defence budget for a medium-size economy.","Defence and Peace Economics","17-35","1","8","1997","UK defence policy and budgets, leading nation, public choice,","10.1080/10430719708404867","http://www.tandfonline.com/doi/abs/10.1080/10430719708404867","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:1:p:17-35",NA,NA
"ReDIF-Article 1.0","Jacques Fontanela, Jean-Paul Hebert","Jacques, Jean-Paul","Fontanela, Hebert","The end of the &#x201c;French grandeur policy&#x201d;","The &#x201c;policy of grandeur&#x201d; was one of the main characteristics of French policy since Louis XIV. After World War II, France became a more modest State, but with de Gaulle and the Fifth Republic a new form of &#x201c;policy of grandeur&#x201d; was developed, based on nuclear deterrence, the importance of military expenditure, the independence of the national armament industry and arms exports. Since the mid-nineties, there has been a profound change of French defence policy, concerning the definition of means and the organization of armament production. European co-operation no longer appears as one option among others but as the only way out. For France, European co-operations is now placed at the centre of defence policy. The most important transformations in French arms production have yet to come.","Defence and Peace Economics","37-55","1","8","1997","Military expenditures, France, Arms production, Nuclear forces,","10.1080/10430719708404868","http://www.tandfonline.com/doi/abs/10.1080/10430719708404868","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:1:p:37-55",NA,NA
"ReDIF-Article 1.0","Jeffrey Salmon","Jeffrey","Salmon","The US military build-up 1980-1985: What the one trillion dollars purchased","The build-up of US military forces in the early 1980s was controversial. Critics charged that the expenditures were made without the benefit of a strategy for how best to use the increased resources and that defense procurements were wasteful. For a time, Secretary Weinberger's administration of the defense department was seriously questioned as lacking any strategic vision. This paper argues that these criticisms have merit, but fail to take into account the political context - both domestic and international - in which the Reagan Administration was operating. The defense build-up fit into a larger national strategy and as such cannot be understood in isolation. This national strategy is discussed and the role played by the Reagan military build-up in the conclusion of the Cold War considered.","Defence and Peace Economics","57-76","1","8","1997","Defense spending, Reagan foreign policy, military build-up, euromissile, zero option, strategic defense initiative, defense budgets,","10.1080/10430719708404869","http://www.tandfonline.com/doi/abs/10.1080/10430719708404869","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:1:p:57-76",NA,NA
"ReDIF-Article 1.0","Andreas Wenger","Andreas","Wenger","Eisenhower, Kennedy, and the missile gap: Determinants of us military expenditure in the wake of the sputnik shock","The article examines the factors that influenced America's defense budget in the wake of Sputnik. It concludes that both Eisenhower and Kennedy for political purposes proposed bigger defense expenditure to Congress than they thought was justified from a military standpoint. Both were strongly influenced in their decisions by political and psychological considerations related to the credibility of the United States as a superpower and security guarantor. The importance of military expenditure as a signal of resolve grew parallel to the end of the age of American invulnerability. With the advent of mutual nuclear plenty, the impact of public - and in particular allied - perceptions on defense budget decisions multiplied. The fact that both Eisenhower and Kennedy perceived military expenditure as a means to reassure allies and deter adversaries put them into an essentially defensive position in their effort to contain bureaucratic and domestic political forces in favor of a larger defense budget.","Defence and Peace Economics","77-100","1","8","1997","US military expenditure, missile gap, Sputnik shock, US defense budgetary process, Eisenhower defense budget, Kennedy defense budget,","10.1080/10430719708404870","http://www.tandfonline.com/doi/abs/10.1080/10430719708404870","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:1:p:77-100",NA,NA
"ReDIF-Article 1.0","Jyoti Khanna, Todd Sandler","Jyoti, Todd","Khanna, Sandler","Conscription, peace-keeping, and foreign assistance: NATO burden sharing in the post-cold war era","This article examines burden-sharing behavior from the mid-1970s to 1994 using conscription-adjusted data. Except for the Reagan defense build-up in the early 1980s, actual defense burdens are not significantly different than average derived defense burdens. There is little sign of the exploitation hypothesis during this flexible-response era. In the 1990s, peace-keeping missions perform more like a pure public good and display some evidence of the exploitation of the large ally by the small. NATO foreign assistance abides by the joint product model and does not imply exploitation. Dramatic changes in the 1990s appear to reinforce the tendency towards equitable burden sharing, experienced from the start of the flexible-response era.","Defence and Peace Economics","101-121","1","8","1997","Post-Cold War era, joint product model, peace-keeping, exploitation hypothesis, foreign assistance, conscription, flexible response, public good,","10.1080/10430719708404871","http://www.tandfonline.com/doi/abs/10.1080/10430719708404871","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:1:p:101-121",NA,NA
"ReDIF-Article 1.0","Reimund Seidelmann","Reimund","Seidelmann","Costs, risks, and benefits of a global military capability for the European union","This article contains estimates of the economic and political costs and risks for the build-up, maintenance, modernization, and operation of a global military power projection for the EU, which is comparable in size and effectiveness to that of the USA. Build-up costs for such a capacity are estimated as 200-400bn ECU or an increase of about 50% to the defence budgets of NATO Europe of 1995. In relative terms this would mean defence expenditures of 2.8-3.8% of GDP, which seems tolerable compared to figures of the 1970s and 1980s. For the EU budget this would mean, however, not only nearly tripling but an increase from 1.3% to 4.8% of GDP. While other economic costs are marginal, the political costs for such a fundamental change in the EU's character, for reversing political trends in defence spending, and for transferring sensitive national sovereignty to the EU and the risk for public support, party cohesion, and elections are considerable. These political costs and potential risks have to be compared with benefits of becoming a second global power, of becoming independent from US security, and from major positive effects for EU integration in general.","Defence and Peace Economics","123-143","1","8","1997","European Union (EU), Common European Armaments market, common Foreign and Security Policy, european defence budgets, military capacity of EU, West European Union (WEU),","10.1080/10430719708404872","http://www.tandfonline.com/doi/abs/10.1080/10430719708404872","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:1:p:123-143",NA,NA
"ReDIF-Article 1.0","Christos Avramides","Christos","Avramides","Alternative models of Greek defence expenditures","This paper models and estimates Greek defence spending over the 1950-1989 period. It employs the Stone-Geary welfare function and estimates levels of defence expenditures by the Engle-Granger two-step procedure. The Dickey-Fuller test regression for cointegration is specified in terms of the significance of additional augmentations. The Deaton-Muellbauer functional form is then employed and an estimating equation for the expenditure share of defence is derived. This specification is compared with the levels equation through a number of non-nested tests involving model transformation.","Defence and Peace Economics","145-187","2","8","1997","Greece, Defence spending, Stone-Geary utility function, Deaton-Muellbauer functional form, Cointegration, Non-nested tests,","10.1080/10430719708404874","http://www.tandfonline.com/doi/abs/10.1080/10430719708404874","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:2:p:145-187",NA,NA
"ReDIF-Article 1.0","Christos Kollias","Christos","Kollias","Defence spending and growth in turkey 1954-1993: A causal analysis","This paper investigates the causality issue between military expenditure and growth in the case of Turkey, a strategically located developing country, for the period 1954-1993. Results reported herein reveal the absence of any causal ordering between the variables in question.","Defence and Peace Economics","189-204","2","8","1997","Granger causality, Unit roots, Structural breaks, Turkish military spending, Economic growth,","10.1080/10430719708404875","http://www.tandfonline.com/doi/abs/10.1080/10430719708404875","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:2:p:189-204",NA,NA
"ReDIF-Article 1.0","James Murdoch, Chung-Ron Pi, Todd Sandler","James, Chung-Ron, Todd","Murdoch, Pi, Sandler","The impact of defense and non-defense public spending on growth in Asia and Latin America","For a three-sector Feder-Ram framework, we present time-series, cross-sectional estimates for two cohorts, consisting of Asian and Latin American countries. The estimates indicate that private investment, and defense and non-defense public spending are growth promoting for alternative error components representations. For the best error components representation, greater growth enhancement is associated with the two forms of public spending in Asia than in Latin America, while the opposite comparison characterizes private investment. Although defense is growth promoting, an opportunity cost exists insofar as non-defense spending, financed by defense spending, appears to give a small net boost to growth in Latin America.","Defence and Peace Economics","205-224","2","8","1997","Feder-Ram model, Error components models, Growth and defense spending, Public spending, Peace dividend, Asia, Latin America, Panel data,","10.1080/10430719708404876","http://www.tandfonline.com/doi/abs/10.1080/10430719708404876","text/html","Access to full text is restricted to subscribers.","RePEc:taf:defpea:v:8:y:1997:i:2:p:205-224",NA,NA
